elem,xc_m,yc_m,mx_Nm_per_m,my_Nm_per_m,mxy_Nm_per_m,qsoil_mean_Pa,w_mean_m
0,0.5,0.5,-16763.282800853944,-16763.282800856774,40426.16344848421,97013.71601218391,0.004850685800609196
1,1.5,0.5,-41930.56577649515,-12766.799973533449,55697.70921596693,110202.6709301214,0.00551013354650607
2,2.5,0.5,-57346.423931651276,-7891.118364814152,55489.11887185654,121051.94633928657,0.006052597316964329
3,3.5,0.5,-64643.33071061771,-2707.5326466346123,41279.67126958997,128642.35757334664,0.006432117878667332
4,4.5,0.5,-67238.88368162741,1085.6428434939226,15258.694920274675,132520.34553589852,0.006626017276794927
5,5.5,0.5,-67238.88368162295,1085.642843501284,-15258.694920279975,132520.34553589788,0.006626017276794894
6,6.5,0.5,-64643.330710611815,-2707.5326466258084,-41279.67126958905,128642.35757334472,0.006432117878667236
7,7.5,0.5,-57346.423931648314,-7891.118364795528,-55489.11887187095,121051.94633928356,0.006052597316964179
8,8.5,0.5,-41930.56577649367,-12766.799973520145,-55697.709215967494,110202.67093011735,0.005510133546505867
9,9.5,0.5,-16763.282800857265,-16763.28280085939,-40426.16344848577,97013.71601217869,0.004850685800608934
10,0.5,1.5,-12766.799973522484,-41930.56577650256,55697.70921596378,110202.67093012409,0.005510133546506204
11,1.5,1.5,-35973.23441239632,-35973.23441240139,71428.1162502381,127655.31417263538,0.006382765708631769
12,2.5,1.5,-68284.51646168527,-25682.75739414241,73723.36113626377,143306.74603652477,0.007165337301826238
13,3.5,1.5,-94591.6292935927,-9581.51326969074,56760.461492295355,155169.12239325445,0.007758456119662723
14,4.5,1.5,-108252.07215214247,2160.154496835359,21275.49520819323,161565.12998275692,0.008078256499137846
15,5.5,1.5,-108252.07215214166,2160.1544968353373,-21275.49520819704,161565.12998275616,0.008078256499137806
16,6.5,1.5,-94591.62929359193,-9581.513269693007,-56760.46149229845,155169.12239325215,0.007758456119662607
17,7.5,1.5,-68284.51646168751,-25682.757394146167,-73723.36113627115,143306.74603652093,0.007165337301826046
18,8.5,1.5,-35973.234412395206,-35973.23441239837,-71428.1162502463,127655.31417263002,0.0063827657086315
19,9.5,1.5,-12766.79997352042,-41930.56577649884,-55697.70921596808,110202.6709301172,0.00551013354650586
20,0.5,2.5,-7891.118364797552,-57346.423931650665,55489.11887186604,121051.94633929153,0.006052597316964577
21,1.5,2.5,-25682.757394143846,-68284.51646168766,73723.36113626685,143306.74603652715,0.007165337301826357
22,2.5,2.5,-75898.12716797905,-75898.12716797985,88090.71774725246,164597.71931576385,0.008229885965788192
23,3.5,2.5,-140025.58640744755,-58700.27809256104,81902.70963368035,182035.17240126408,0.009101758620063204
24,4.5,2.5,-178361.63151673027,-35938.92470055183,30681.49865508631,191900.92961644987,0.009595046480822494
25,5.5,2.5,-178361.63151673117,-35938.92470055189,-30681.498655089512,191900.929616449,0.009595046480822449
26,6.5,2.5,-140025.58640744883,-58700.27809256266,-81902.7096336839,182035.1724012614,0.00910175862006307
27,7.5,2.5,-75898.12716798198,-75898.12716798355,-88090.71774725907,164597.7193157593,0.008229885965787965
28,8.5,2.5,-25682.75739414373,-68284.5164616905,-73723.36113627188,143306.7460365206,0.0071653373018260285
29,9.5,2.5,-7891.118364797136,-57346.42393165274,-55489.11887187164,121051.946339283,0.006052597316964149
30,0.5,3.5,-2707.5326466275983,-64643.33071061987,41279.67126958722,128642.35757335366,0.006432117878667682
31,1.5,3.5,-9581.513269694915,-94591.62929359912,56760.46149229425,155169.12239325905,0.007758456119662953
32,2.5,3.5,-58700.27809256046,-140025.58640745532,81902.70963367925,182035.1724012663,0.009101758620063315
33,3.5,3.5,-184088.9133592556,-184088.913359263,105778.05078702679,206525.99350190067,0.010326299675095033
34,4.5,3.5,-302433.32520673564,-153452.934913221,66944.81512086757,221925.90307863947,0.011096295153931972
35,5.5,3.5,-302433.32520673476,-153452.9349132196,-66944.81512087054,221925.90307863842,0.011096295153931922
36,6.5,3.5,-184088.9133592608,-184088.9133592624,-105778.05078703143,206525.99350189755,0.010326299675094876
37,7.5,3.5,-58700.278092562905,-140025.58640745457,-81902.70963368648,182035.17240126093,0.009101758620063044
38,8.5,3.5,-9581.513269694613,-94591.62929359924,-56760.461492300754,155169.12239325116,0.007758456119662558
39,9.5,3.5,-2707.5326466232127,-64643.33071061927,-41279.67126959143,128642.3575733434,0.00643211787866717
40,0.5,4.5,1085.6428434936824,-67238.88368163494,15258.694920278831,132520.34553590737,0.006626017276795368
41,1.5,4.5,2160.154496833675,-108252.07215215018,21275.495208192675,161565.12998276338,0.008078256499138167
42,2.5,4.5,-35938.92470054881,-178361.63151673632,30681.49865508662,191900.9296164539,0.009595046480822694
43,3.5,4.5,-153452.9349132145,-302433.3252067399,66944.81512086689,221925.90307864128,0.011096295153932064
44,4.5,4.5,-513862.12530873955,-513862.1253087451,63445.67334886708,245066.60588944994,0.012253330294472497
45,5.5,4.5,-513862.125308743,-513862.1253087477,-63445.67334887171,245066.6058894488,0.012253330294472441
46,6.5,4.5,-153452.934913221,-302433.32520674693,-66944.81512087409,221925.90307863776,0.011096295153931887
47,7.5,4.5,-35938.924700553456,-178361.63151674037,-30681.498655091546,191900.92961644768,0.009595046480822385
48,8.5,4.5,2160.1544968361304,-108252.07215214746,-21275.49520819814,161565.12998275418,0.00807825649913771
49,9.5,4.5,1085.6428435001399,-67238.88368163067,-15258.694920282896,132520.34553589538,0.006626017276794771
50,0.5,5.5,1085.642843494481,-67238.88368163347,-15258.69492027722,132520.34553590798,0.0066260172767954
51,1.5,5.5,2160.154496832489,-108252.07215214834,-21275.495208193308,161565.129982764,0.0080782564991382
52,2.5,5.5,-35938.924700550386,-178361.63151673175,-30681.49865508906,191900.92961645446,0.009595046480822723
53,3.5,5.5,-153452.93491321293,-302433.3252067337,-66944.81512087201,221925.90307864168,0.011096295153932083
54,4.5,5.5,-513862.12530873955,-513862.12530874164,-63445.67334887158,245066.60588945023,0.01225333029447251
55,5.5,5.5,-513862.1253087444,-513862.1253087458,63445.67334886436,245066.60588944893,0.012253330294472446
56,6.5,5.5,-153452.93491321846,-302433.32520674117,66944.81512086507,221925.90307863755,0.011096295153931877
57,7.5,5.5,-35938.92470055293,-178361.6315167394,30681.49865508692,191900.92961644722,0.009595046480822362
58,8.5,5.5,2160.154496835563,-108252.07215215122,21275.49520819209,161565.1299827536,0.008078256499137678
59,9.5,5.5,1085.642843497364,-67238.8836816308,15258.694920275533,132520.34553589454,0.006626017276794727
60,0.5,6.5,-2707.5326466276783,-64643.330710615934,-41279.671269585575,128642.35757335565,0.006432117878667782
