elem,xc_m,yc_m,mx_Nm_per_m,my_Nm_per_m,mxy_Nm_per_m,qsoil_mean_Pa,w_mean_m,Mx_bottom_Nm_per_m,Mx_top_Nm_per_m,My_bottom_Nm_per_m,My_top_Nm_per_m,Asx_bottom_req_cm2_m,Asx_top_req_cm2_m,Asy_bottom_req_cm2_m,Asy_top_req_cm2_m,As_min_total_cm2_m,As_min_face_cm2_m,Asx_bottom_adot_cm2_m,Asx_top_adot_cm2_m,Asy_bottom_adot_cm2_m,Asy_top_adot_cm2_m,Asx_req_cm2_m,Asy_req_cm2_m,As_min_cm2_m,Asx_adot_cm2_m,Asy_adot_cm2_m,detalhe_x_inf,detalhe_x_sup,detalhe_y_inf,detalhe_y_sup
0,0.5,0.5,-16763.282800853944,-16763.282800856774,40426.16344848421,97013.71601218393,0.0048506858006091,40426.16344848421,57189.44624933815,40426.16344848421,57189.44624934098,2.3479842406947897,3.3216092518554983,2.3479842406947897,3.3216092518556626,7.5,3.75,3.75,3.75,3.75,3.75,3.3216092518554983,3.3216092518556626,7.5,3.75,3.75,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
1,1.5,0.5,-41930.56577649515,-12766.799973533449,55697.70921596693,110202.6709301214,0.005510133546506,55697.70921596693,97628.27499246207,55697.70921596693,68464.50918950037,3.2349679595132304,5.6703291030975445,3.2349679595132304,3.976474018582092,7.5,3.75,3.75,5.6703291030975445,3.75,3.976474018582092,5.6703291030975445,3.976474018582092,7.5,5.6703291030975445,3.976474018582092,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
2,2.5,0.5,-57346.42393165128,-7891.118364814152,55489.11887185654,121051.94633928656,0.0060525973169643,55489.11887185654,112835.54280350782,55489.11887185654,63380.23723667069,3.2228528637694454,6.553579506264342,3.2228528637694454,3.6811753950591557,7.5,3.75,3.75,6.553579506264342,3.75,3.75,6.553579506264342,3.6811753950591557,7.5,6.553579506264342,3.75,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
3,3.5,0.5,-64643.33071061771,-2707.5326466346123,41279.67126958997,128642.35757334664,0.0064321178786673,41279.67126958997,105923.00198020769,41279.67126958997,43987.20391622458,2.397556664647902,6.152093549355496,2.397556664647902,2.554812348669609,7.5,3.75,3.75,6.152093549355496,3.75,3.75,6.152093549355496,2.554812348669609,7.5,6.152093549355496,3.75,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
4,4.5,0.5,-67238.88368162741,1085.6428434939226,15258.694920274676,132520.34553589852,0.0066260172767949,15258.694920274676,82497.57860190209,16344.337763768599,15258.694920274676,0.8862373312280745,4.791526029908454,0.9492923448653477,0.8862373312280745,7.5,3.75,3.75,4.791526029908454,3.75,3.75,4.791526029908454,0.9492923448653477,7.5,4.791526029908454,3.75,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
5,5.5,0.5,-67238.88368162295,1085.642843501284,-15258.694920279975,132520.34553589788,0.0066260172767948,15258.694920279975,82497.57860190292,16344.33776378126,15258.694920279975,0.8862373312283823,4.7915260299085025,0.9492923448660832,0.8862373312283823,7.5,3.75,3.75,4.7915260299085025,3.75,3.75,4.7915260299085025,0.9492923448660832,7.5,4.7915260299085025,3.75,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
6,6.5,0.5,-64643.330710611815,-2707.5326466258084,-41279.67126958905,128642.35757334472,0.0064321178786672,41279.67126958905,105923.00198020088,41279.67126958905,43987.20391621486,2.397556664647849,6.152093549355101,2.397556664647849,2.554812348669045,7.5,3.75,3.75,6.152093549355101,3.75,3.75,6.152093549355101,2.554812348669045,7.5,6.152093549355101,3.75,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
7,7.5,0.5,-57346.423931648314,-7891.118364795528,-55489.11887187095,121051.94633928356,0.0060525973169641,55489.11887187095,112835.54280351926,55489.11887187095,63380.23723666648,3.222852863770282,6.553579506265007,3.222852863770282,3.6811753950589114,7.5,3.75,3.75,6.553579506265007,3.75,3.75,6.553579506265007,3.6811753950589114,7.5,6.553579506265007,3.75,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
8,8.5,0.5,-41930.56577649367,-12766.799973520145,-55697.709215967494,110202.67093011735,0.0055101335465058,55697.709215967494,97628.27499246117,55697.709215967494,68464.50918948764,3.234967959513263,5.670329103097492,3.234967959513263,3.9764740185813525,7.5,3.75,3.75,5.670329103097492,3.75,3.9764740185813525,5.670329103097492,3.9764740185813525,7.5,5.670329103097492,3.9764740185813525,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
9,9.5,0.5,-16763.282800857265,-16763.28280085939,-40426.16344848577,97013.71601217867,0.0048506858006089,40426.16344848577,57189.44624934303,40426.16344848577,57189.44624934516,2.3479842406948803,3.3216092518557816,2.3479842406948803,3.3216092518559055,7.5,3.75,3.75,3.75,3.75,3.75,3.3216092518557816,3.3216092518559055,7.5,3.75,3.75,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
10,0.5,1.5,-12766.799973522484,-41930.56577650256,55697.70921596378,110202.67093012408,0.0055101335465062,55697.70921596378,68464.50918948627,55697.70921596378,97628.27499246635,3.2349679595130474,3.976474018581273,3.2349679595130474,5.670329103097792,7.5,3.75,3.75,3.976474018581273,3.75,5.670329103097792,3.976474018581273,5.670329103097792,7.5,3.976474018581273,5.670329103097792,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
11,1.5,1.5,-35973.23441239632,-35973.23441240139,71428.1162502381,127655.31417263538,0.0063827657086317,71428.1162502381,107401.35066263442,71428.1162502381,107401.3506626395,4.148602711503728,6.237957235456038,4.148602711503728,6.237957235456333,7.5,3.75,4.148602711503728,6.237957235456038,4.148602711503728,6.237957235456333,6.237957235456038,6.237957235456333,7.5,6.237957235456038,6.237957235456333,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm
12,2.5,1.5,-68284.51646168527,-25682.75739414241,73723.36113626377,143306.74603652477,0.0071653373018262,73723.36113626377,142007.87759794906,73723.36113626377,99406.11853040618,4.281912389227441,8.247932284729364,4.281912389227441,5.773587692422581,7.5,3.75,4.281912389227441,8.247932284729364,4.281912389227441,5.773587692422581,8.247932284729364,5.773587692422581,7.5,8.247932284729364,5.773587692422581,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
13,3.5,1.5,-94591.6292935927,-9581.51326969074,56760.461492295355,155169.12239325445,0.0077584561196627,56760.461492295355,151352.09078588805,56760.461492295355,66341.9747619861,3.2966934705121034,8.790651737564204,3.2966934705121034,3.8531955038527275,7.5,3.75,3.75,8.790651737564204,3.75,3.8531955038527275,8.790651737564204,3.8531955038527275,7.5,8.790651737564204,3.8531955038527275,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
14,4.5,1.5,-108252.07215214249,2160.154496835359,21275.49520819323,161565.12998275692,0.0080782564991378,21275.49520819323,129527.56736033571,23435.64970502859,21275.49520819323,1.235697954011223,7.523065781029598,1.361161472766812,1.235697954011223,7.5,3.75,3.75,7.523065781029598,3.75,3.75,7.523065781029598,1.361161472766812,7.5,7.523065781029598,3.75,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 15.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
15,5.5,1.5,-108252.07215214166,2160.1544968353373,-21275.49520819704,161565.12998275616,0.0080782564991378,21275.49520819704,129527.5673603387,23435.649705032378,21275.49520819704,1.235697954011444,7.523065781029771,1.3611614727670318,1.235697954011444,7.5,3.75,3.75,7.523065781029771,3.75,3.75,7.523065781029771,1.3611614727670318,7.5,7.523065781029771,3.75,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 15.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
16,6.5,1.5,-94591.62929359192,-9581.513269693009,-56760.46149229845,155169.12239325215,0.0077584561196626,56760.46149229845,151352.09078589035,56760.46149229845,66341.97476199146,3.296693470512283,8.790651737564337,3.296693470512283,3.8531955038530388,7.5,3.75,3.75,8.790651737564337,3.75,3.8531955038530388,8.790651737564337,3.8531955038530388,7.5,8.790651737564337,3.8531955038530388,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
17,7.5,1.5,-68284.51646168751,-25682.757394146167,-73723.36113627115,143306.74603652093,0.007165337301826,73723.36113627115,142007.87759795866,73723.36113627115,99406.11853041733,4.28191238922787,8.247932284729922,4.28191238922787,5.773587692423227,7.5,3.75,4.28191238922787,8.247932284729922,4.28191238922787,5.773587692423227,8.247932284729922,5.773587692423227,7.5,8.247932284729922,5.773587692423227,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
18,8.5,1.5,-35973.234412395206,-35973.23441239837,-71428.1162502463,127655.31417263002,0.0063827657086315,71428.1162502463,107401.3506626415,71428.1162502463,107401.35066264466,4.148602711504204,6.2379572354564505,4.148602711504204,6.2379572354566335,7.5,3.75,4.148602711504204,6.2379572354564505,4.148602711504204,6.2379572354566335,6.2379572354564505,6.2379572354566335,7.5,6.2379572354564505,6.2379572354566335,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm
19,9.5,1.5,-12766.79997352042,-41930.56577649884,-55697.70921596808,110202.6709301172,0.0055101335465058,55697.70921596808,68464.5091894885,55697.70921596808,97628.27499246693,3.2349679595132974,3.9764740185814023,3.2349679595132974,5.670329103097826,7.5,3.75,3.75,3.9764740185814023,3.75,5.670329103097826,3.9764740185814023,5.670329103097826,7.5,3.9764740185814023,5.670329103097826,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm
20,0.5,2.5,-7891.118364797552,-57346.423931650665,55489.11887186604,121051.94633929152,0.0060525973169645,55489.11887186604,63380.2372366636,55489.11887186604,112835.5428035167,3.222852863769997,3.681175395058744,3.222852863769997,6.553579506264858,7.5,3.75,3.75,3.75,3.75,6.553579506264858,3.681175395058744,6.553579506264858,7.5,3.75,6.553579506264858,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 17.5 cm
21,1.5,2.5,-25682.75739414385,-68284.51646168766,73723.36113626685,143306.74603652715,0.0071653373018263,73723.36113626685,99406.11853041069,73723.36113626685,142007.8775979545,4.281912389227619,5.773587692422843,4.281912389227619,8.24793228472968,7.5,3.75,4.281912389227619,5.773587692422843,4.281912389227619,8.24793228472968,5.773587692422843,8.24793228472968,7.5,5.773587692422843,8.24793228472968,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm
22,2.5,2.5,-75898.12716797905,-75898.12716797985,88090.71774725246,164597.71931576385,0.0082298859657881,88090.71774725246,163988.84491523152,88090.71774725246,163988.84491523233,5.116380071178805,9.524604628914961,5.116380071178805,9.524604628915007,7.5,3.75,5.116380071178805,9.524604628914961,5.116380071178805,9.524604628915007,9.524604628914961,9.524604628915007,7.5,9.524604628914961,9.524604628915007,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 12.5 cm
23,3.5,2.5,-140025.58640744755,-58700.27809256104,81902.70963368035,182035.17240126408,0.0091017586200632,81902.70963368035,221928.2960411279,81902.70963368035,140602.9877262414,4.75697555953194,12.889774770065507,4.75697555953194,8.16633514571604,7.5,3.75,4.75697555953194,12.889774770065507,4.75697555953194,8.16633514571604,12.889774770065507,8.16633514571604,7.5,12.889774770065507,8.16633514571604,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 7.5 cm,phi 12.5 c/ 20.0 cm,phi 12.5 c/ 15.0 cm
