elem,xc_m,yc_m,mx_Nm_per_m,my_Nm_per_m,mxy_Nm_per_m,qsoil_mean_Pa,w_mean_m
0,0.5,0.5,-11973.773429180696,-11973.773429183024,28875.83103463233,69295.51143727425,0.003464775571863712
1,1.5,0.5,-29950.404126067675,-9119.142838236261,39784.07801140427,78716.19352151525,0.003935809676075762
2,2.5,0.5,-40961.73137974994,-5636.513117720746,39635.08490847091,86465.67595663317,0.004323283797831659
3,3.5,0.5,-46173.80765044045,-1933.95189045404,29485.479478277626,91887.39826667607,0.004594369913333804
4,4.5,0.5,-48027.7740583046,775.4591739210737,10899.06780019396,94657.3896684989,0.004732869483424945
5,5.5,0.5,-48027.77405830219,775.4591739311709,-10899.067800202047,94657.38966849852,0.004732869483424926
6,6.5,0.5,-46173.807650437666,-1933.9518904456236,-29485.47947827773,91887.3982666749,0.0045943699133337455
7,7.5,0.5,-40961.73137974923,-5636.513117709525,-39635.084908479585,86465.67595663124,0.004323283797831562
8,8.5,0.5,-29950.404126066875,-9119.142838226253,-39784.07801140388,78716.19352151248,0.0039358096760756245
9,9.5,0.5,-11973.773429184188,-11973.773429185392,-28875.83103463222,69295.5114372705,0.0034647755718635246
10,0.5,1.5,-9119.142838229864,-29950.404126075256,39784.078011403406,78716.19352151731,0.003935809676075866
11,1.5,1.5,-25695.167437427077,-25695.16743743216,51020.083035884505,91182.3672661682,0.004559118363308409
12,2.5,1.5,-48774.65461548967,-18344.826710105783,52659.543668760845,102361.96145466057,0.0051180980727330285
13,3.5,1.5,-67565.44949542444,-6843.938049782517,40543.18678020926,110835.0874237532,0.005541754371187661
14,4.5,1.5,-77322.90868010129,1542.9674977401519,15196.782291566795,115403.66427339781,0.005770183213669891
15,5.5,1.5,-77322.90868010012,1542.9674977405666,-15196.782291569582,115403.66427339724,0.005770183213669862
16,6.5,1.5,-67565.44949542322,-6843.938049779978,-40543.18678021355,110835.08742375155,0.0055417543711875775
17,7.5,1.5,-48774.65461549116,-18344.82671010364,-52659.543668764316,102361.96145465784,0.005118098072732892
18,8.5,1.5,-25695.1674374255,-25695.1674374277,-51020.08303589027,91182.36726616432,0.004559118363308216
19,9.5,1.5,-9119.142838228956,-29950.40412607099,-39784.078011406025,78716.1935215123,0.003935809676075614
20,0.5,2.5,-5636.513117712799,-40961.73137975068,39635.084908476114,86465.67595663693,0.004323283797831846
21,1.5,2.5,-18344.826710103145,-48774.65461549121,52659.54366876197,102361.96145466235,0.005118098072733118
22,2.5,2.5,-54212.94797712823,-54212.94797712882,62921.94124803721,117569.79951125996,0.005878489975562998
23,3.5,2.5,-100018.27600531877,-41928.770066114856,58501.9354526287,130025.12314376008,0.006501256157188004
24,4.5,2.5,-127401.16536909353,-25670.660500394282,21915.356182204872,137072.09258317848,0.006853604629158926
25,5.5,2.5,-127401.16536909352,-25670.66050039442,-21915.356182207423,137072.09258317787,0.006853604629158893
26,6.5,2.5,-100018.2760053199,-41928.7700661157,-58501.935452631966,130025.12314375816,0.006501256157187907
27,7.5,2.5,-54212.94797713034,-54212.94797713115,-62921.94124804177,117569.79951125666,0.005878489975562833
28,8.5,2.5,-18344.82671010299,-48774.65461549331,-52659.54366876565,102361.96145465758,0.005118098072732879
29,9.5,2.5,-5636.513117712191,-40961.7313797518,-39635.0849084796,86465.6759566307,0.004323283797831534
30,0.5,3.5,-1933.951890448473,-46173.807650442344,29485.479478276746,91887.39826668127,0.004594369913334064
31,1.5,3.5,-6843.938049782888,-67565.44949542785,40543.18678021048,110835.08742375656,0.005541754371187828
32,2.5,3.5,-41928.77006611423,-100018.27600532483,58501.935452628095,130025.1231437617,0.006501256157188085
33,3.5,3.5,-131492.08097089725,-131492.08097090258,75555.75056216161,147518.56678707193,0.007375928339353596
34,4.5,3.5,-216023.8037190963,-109609.23922372932,47817.725086333805,158518.5021990282,0.007925925109951411
35,5.5,3.5,-216023.80371909664,-109609.23922372825,-47817.72508633592,158518.50219902745,0.007925925109951373
36,6.5,3.5,-131492.0809708999,-131492.08097090138,-75555.7505621654,147518.56678706966,0.007375928339353484
37,7.5,3.5,-41928.770066116136,-100018.27600532441,-58501.93545263325,130025.1231437578,0.006501256157187891
38,8.5,3.5,-6843.938049782438,-67565.4494954283,-40543.18678021494,110835.08742375087,0.005541754371187543
39,9.5,3.5,-1933.951890445098,-46173.80765044245,-29485.47947827987,91887.39826667384,0.004594369913333693
40,0.5,4.5,775.4591739243806,-48027.774058310846,10899.067800198847,94657.38966850535,0.0047328694834252675
41,1.5,4.5,1542.967497737549,-77322.908680108,15196.782291566637,115403.66427340252,0.005770183213670126
42,2.5,4.5,-25670.66050039186,-127401.16536909716,21915.35618220472,137072.09258318145,0.006853604629159071
43,3.5,4.5,-109609.23922372464,-216023.80371909935,47817.72508633362,158518.50219902955,0.007925925109951475
44,4.5,4.5,-367044.37522052845,-367044.3752205323,45318.33810633441,175047.57563532144,0.008752378781766072
45,5.5,4.5,-367044.3752205301,-367044.37522053404,-45318.338106337265,175047.57563532062,0.008752378781766032
46,6.5,4.5,-109609.23922372988,-216023.80371910482,-47817.72508633848,158518.502199027,0.00792592510995135
47,7.5,4.5,-25670.660500394628,-127401.16536909998,-21915.356182208423,137072.09258317694,0.006853604629158847
48,8.5,4.5,1542.967497739377,-77322.90868010535,-15196.78229157025,115403.66427339587,0.005770183213669794
49,9.5,4.5,775.4591739289936,-48027.77405830746,-10899.067800202009,94657.3896684967,0.0047328694834248355
50,0.5,5.5,775.4591739253938,-48027.77405830903,-10899.067800198456,94657.3896685058,0.00473286948342529
51,1.5,5.5,1542.9674977369596,-77322.9086801057,-15196.782291566622,115403.66427340297,0.005770183213670149
52,2.5,5.5,-25670.660500393198,-127401.16536909463,-21915.356182206513,137072.09258318186,0.006853604629159094
53,3.5,5.5,-109609.23922372282,-216023.8037190957,-47817.72508633764,158518.50219902984,0.007925925109951493
54,4.5,5.5,-367044.3752205291,-367044.3752205297,-45318.33810633682,175047.57563532167,0.008752378781766084
55,5.5,5.5,-367044.3752205309,-367044.3752205324,45318.33810633194,175047.5756353207,0.008752378781766035
56,6.5,5.5,-109609.23922372806,-216023.80371910104,47817.7250863324,158518.50219902687,0.007925925109951344
57,7.5,5.5,-25670.660500394715,-127401.1653690997,21915.356182205,137072.09258317662,0.006853604629158831
58,8.5,5.5,1542.9674977394243,-77322.90868010819,15196.782291565945,115403.6642733954,0.00577018321366977
59,9.5,5.5,775.4591739267289,-48027.774058307776,10899.067800196866,94657.38966849606,0.0047328694834248035
60,0.5,6.5,-1933.951890448212,-46173.80765043996,-29485.47947827551,91887.39826668272,0.004594369913334136
61,1.5,6.5,-6843.938049784159,-67565.44949542453,-40543.18678020959,110835.08742375806,0.005541754371187903
62,2.5,6.5,-41928.77006611758,-100018.27600532197,-58501.935452628946,130025.12314376314,0.006501256157188157
63,3.5,6.5,-131492.0809708986,-131492.08097089984,-75555.75056216534,147518.5667870731,0.007375928339353653
64,4.5,6.5,-216023.80371909752,-109609.23922372774,-47817.72508633882,158518.502199029,0.00792592510995145
65,5.5,6.5,-216023.80371909833,-109609.23922372797,47817.72508633085,158518.5021990278,0.007925925109951389
66,6.5,6.5,-131492.08097090008,-131492.08097089952,75555.75056215932,147518.56678706937,0.007375928339353469
67,7.5,6.5,-41928.77006611391,-100018.27600532287,58501.93545262566,130025.12314375688,0.006501256157187845
68,8.5,6.5,-6843.938049781101,-67565.44949542893,40543.18678021039,110835.08742374944,0.0055417543711874725
69,9.5,6.5,-1933.951890447829,-46173.80765044364,29485.479478276367,91887.39826667195,0.004594369913333598
70,0.5,7.5,-5636.513117714284,-40961.73137974935,-39635.08490847491,86465.67595663949,0.004323283797831975
71,1.5,7.5,-18344.826710107372,-48774.65461549347,-52659.543668762286,102361.96145466504,0.0051180980727332515
72,2.5,7.5,-54212.94797713369,-54212.94797713303,-62921.94124803933,117569.79951126254,0.005878489975563127
73,3.5,7.5,-100018.27600532392,-41928.77006611607,-58501.935452630816,130025.12314376225,0.006501256157188112
74,4.5,7.5,-127401.16536909665,-25670.660500392514,-21915.356182208816,137072.09258317997,0.0068536046291589985
75,5.5,7.5,-127401.16536909486,-25670.66050039263,21915.356182201594,137072.09258317848,0.006853604629158924
76,6.5,7.5,-100018.27600532306,-41928.770066117184,58501.93545262602,130025.12314375777,0.006501256157187888
77,7.5,7.5,-54212.9479771264,-54212.94797712981,62921.941248035495,117569.79951125517,0.005878489975562759
