node,x_m,y_m,w_m,thx_rad,thy_rad,qsoil_Pa,area_m2,spring_active,column_load_N
0,0.0,0.0,0.0029917310949135975,0.0004677130297309473,0.0004677130297310727,59834.62189827195,0.25,1,0.0
1,1.0,0.0,0.003435761752930374,0.0004286563596547514,0.0005613464076095673,68715.23505860749,0.5,1,0.0
2,2.0,0.0,0.003797728880243097,0.00033415561380332575,0.0007143678881998776,75954.57760486194,0.5,1,0.0
3,3.0,0.0,0.004053733678479172,0.00022290687051575321,0.000865455969429779,81074.67356958344,0.5,1,0.0
4,4.0,0.0,0.004202532129527832,0.00011005912999506389,0.0009780486747334042,84050.64259055664,0.5,1,0.0
5,5.0,0.0,0.004250827033717512,-1.4904528994185752e-17,0.0010190023824480335,85016.54067435024,0.5,1,0.0
6,6.0,0.0,0.00420253212952781,-0.00011005912999509922,0.0009780486747333359,84050.64259055619,0.5,1,0.0
7,7.0,0.0,0.00405373367847911,-0.00022290687051578414,0.0008654559694297576,81074.6735695822,0.5,1,0.0
8,8.0,0.0,0.003797728880243014,-0.00033415561380336094,0.0007143678881997649,75954.57760486029,0.5,1,0.0
9,9.0,0.0,0.003435761752930245,-0.000428656359654796,0.000561346407609514,68715.2350586049,0.5,1,0.0
10,10.0,0.0,0.0029917310949134175,-0.0004677130297310098,0.00046771302973100187,59834.62189826835,0.25,1,0.0
11,0.0,1.0,0.003435761752930486,0.0005613464076094628,0.00042865635965485285,68715.23505860972,0.5,1,0.0
12,1.0,1.0,0.003995847686680391,0.000542928965225594,0.0005429289652257058,79916.95373360782,1.0,1,0.0
13,2.0,1.0,0.004513900384449187,0.0004686702577264972,0.0007140109585056027,90278.00768898375,1.0,1,0.0
14,3.0,1.0,0.004927772248155179,0.000340912428476835,0.0008811478980734294,98555.44496310358,1.0,1,0.0
15,4.0,1.0,0.005193441597173031,0.00017903806536342644,0.001006161603927558,103868.83194346061,1.0,1,0.0
16,5.0,1.0,0.005284677173281405,-2.7692025331802824e-17,0.0010531755371673717,105693.5434656281,1.0,1,0.0
17,6.0,1.0,0.005193441597172977,-0.00017903806536347395,0.0010061616039275475,103868.83194345953,1.0,1,0.0
18,7.0,1.0,0.004927772248155085,-0.0003409124284768803,0.0008811478980733974,98555.4449631017,1.0,1,0.0
19,8.0,1.0,0.00451390038444904,-0.0004686702577265475,0.000714010958505567,90278.0076889808,1.0,1,0.0
20,9.0,1.0,0.003995847686680197,-0.0005429289652256422,0.0005429289652256346,79916.95373360395,1.0,1,0.0
21,10.0,1.0,0.0034357617529302397,-0.000561346407609511,0.0004286563596547901,68715.2350586048,0.5,1,0.0
22,0.0,2.0,0.003797728880243305,0.0007143678881997265,0.0003341556138034016,75954.5776048661,0.5,1,0.0
23,1.0,2.0,0.00451390038444928,0.0007140109585055064,0.0004686702577265815,90278.0076889856,1.0,1,0.0
24,2.0,2.0,0.00521282499765478,0.0006649328623049593,0.0006649328623050466,104256.49995309561,1.0,1,0.0
25,3.0,2.0,0.005817894660672967,0.0005220565559138104,0.0008786866195519386,116357.89321345935,1.0,1,0.0
26,4.0,2.0,0.0062279089787494624,0.0002867509477144113,0.0010486377935448631,124558.17957498925,1.0,1,0.0
27,5.0,2.0,0.006374705105475664,-3.049745342468219e-17,0.001112744642952629,127494.10210951329,1.0,1,0.0
28,6.0,2.0,0.006227908978749402,-0.00028675094771447374,0.0010486377935448538,124558.17957498804,1.0,1,0.0
