node,x_m,y_m,w_m,thx_rad,thy_rad,qsoil_Pa,area_m2,spring_active,column_load_N
0,0.0,0.0,0.007914832881539782,0.0006241907972569214,0.0006241907972568466,79148.32881539782,0.25,1,0.0
1,1.0,0.0,0.008513380264606636,0.0005799751727442249,0.0007232049448579425,85133.80264606637,0.5,1,0.0
2,2.0,0.0,0.009018422548817531,0.00046746254706676464,0.0008850214701458038,90184.22548817532,0.5,1,0.0
3,3.0,0.0,0.00939199656866014,0.00032314432897079156,0.0010448978238175924,93919.9656866014,0.5,1,0.0
4,4.0,0.0,0.00961846181041937,0.0001640057366557252,0.0011640689597979981,96184.61810419371,0.5,1,0.0
5,5.0,0.0,0.009693933568805999,-2.1014707786824447e-16,0.0012074494441345724,96939.33568805999,0.5,1,0.0
6,6.0,0.0,0.009618461810418946,-0.00016400573665619454,0.0011640689597978197,96184.61810418946,0.5,1,0.0
7,7.0,0.0,0.009391996568659225,-0.00032314432897125804,0.0010448978238176193,93919.96568659226,0.5,1,0.0
8,8.0,0.0,0.009018422548816173,-0.00046746254706718515,0.0008850214701458519,90184.22548816173,0.5,1,0.0
9,9.0,0.0,0.008513380264604875,-0.0005799751727446163,0.0007232049448579836,85133.80264604876,0.5,1,0.0
10,10.0,0.0,0.00791483288153765,-0.000624190797257294,0.0006241907972568888,79148.3288153765,0.25,1,0.0
11,0.0,1.0,0.008513380264606572,0.0007232049448579936,0.0005799751727441963,85133.80264606571,0.5,1,0.0
12,1.0,1.0,0.009234863730563907,0.0007011245304149015,0.0007011245304148142,92348.63730563907,1.0,1,0.0
13,2.0,1.0,0.009905399665496273,0.0006101360638013902,0.0008825768027441856,99053.99665496273,1.0,1,0.0
14,3.0,1.0,0.010446480300110788,0.0004483689395538064,0.001059865594078582,104464.80300110788,1.0,1,0.0
15,4.0,1.0,0.010796999636217346,0.00023721344503344915,0.0011925237992842913,107969.99636217346,1.0,1,0.0
16,5.0,1.0,0.010918069819200843,-2.506520085172988e-16,0.0012423646416139307,109180.69819200844,1.0,1,0.0
17,6.0,1.0,0.010796999636216857,-0.00023721344503389096,0.0011925237992842991,107969.99636216857,1.0,1,0.0
18,7.0,1.0,0.01044648030010988,-0.0004483689395542203,0.0010598655940785883,104464.8030010988,1.0,1,0.0
19,8.0,1.0,0.00990539966549496,-0.0006101360638017809,0.0008825768027441905,99053.9966549496,1.0,1,0.0
20,9.0,1.0,0.009234863730562197,-0.0007011245304152891,0.0007011245304148908,92348.63730562197,1.0,1,0.0
21,10.0,1.0,0.008513380264604476,-0.0007232049448583763,0.0005799751727442238,85133.80264604476,0.5,1,0.0
22,0.0,2.0,0.009018422548817446,0.0008850214701458726,0.00046746254706676486,90184.22548817446,0.5,1,0.0
23,1.0,2.0,0.009905399665496233,0.000882576802744202,0.0006101360638013655,99053.99665496234,1.0,1,0.0
24,2.0,2.0,0.01076770000608385,0.0008178447180306298,0.0008178447180305994,107677.0000608385,1.0,1,0.0
25,3.0,2.0,0.011510993668318946,0.0006396975497243176,0.0010426072552321755,115109.93668318946,1.0,1,0.0
26,4.0,2.0,0.012014153827111232,0.0003509470167760792,0.0012209503191288453,120141.53827111231,1.0,1,0.0
27,5.0,2.0,0.012193874368486872,-2.338957679282887e-16,0.0012881843853221676,121938.74368486872,1.0,1,0.0
28,6.0,2.0,0.012014153827110758,-0.00035094701677654017,0.00122095031912885,120141.53827110758,1.0,1,0.0
29,7.0,2.0,0.011510993668318044,-0.0006396975497247204,0.0010426072552321953,115109.93668318044,1.0,1,0.0
30,8.0,2.0,0.010767700006082556,-0.0008178447180310146,0.000817844718030616,107677.00006082557,1.0,1,0.0
31,9.0,2.0,0.00990539966549456,-0.0008825768027445909,0.0006101360638013832,99053.99665494559,1.0,1,0.0
32,10.0,2.0,0.009018422548815389,-0.0008850214701462509,0.0004674625470667895,90184.22548815388,0.5,1,0.0
33,0.0,3.0,0.009391996568660074,0.0010448978238176171,0.00032314432897082935,93919.96568660074,0.5,1,0.0
34,1.0,3.0,0.010446480300110743,0.001059865594078596,0.0004483689395538207,104464.80300110743,1.0,1,0.0
35,2.0,3.0,0.011510993668318922,0.0010426072552321987,0.00063969754972431,115109.93668318921,1.0,1,0.0
36,3.0,3.0,0.012507747828720443,0.0008888645937119616,0.0008888645937119637,125077.47828720443,1.0,1,0.0
37,4.0,3.0,0.013237930729611028,0.0005169998982489309,0.0011697156314090997,132379.3072961103,1.0,1,0.0
38,5.0,3.0,0.013498112169513495,-2.287831183942483e-16,0.0012640279357552804,134981.12169513493,1.0,1,0.0
39,6.0,3.0,0.013237930729610575,-0.0005169998982493635,0.0011697156314091316,132379.30729610575,1.0,1,0.0
40,7.0,3.0,0.012507747828719567,-0.0008888645937123789,0.0008888645937119845,125077.47828719567,1.0,1,0.0
41,8.0,3.0,0.01151099366831765,-0.0010426072552325906,0.0006396975497243156,115109.93668317651,1.0,1,0.0
42,9.0,3.0,0.010446480300109081,-0.0010598655940789788,0.0004483689395538168,104464.80300109081,1.0,1,0.0
43,10.0,3.0,0.009391996568658027,-0.001044897823818003,0.00032314432897081097,93919.96568658027,0.5,1,0.0
44,0.0,4.0,0.009618461810419364,0.001164068959797953,0.0001640057366558034,96184.61810419364,0.5,1,0.0
45,1.0,4.0,0.010796999636217334,0.0011925237992843015,0.00023721344503352162,107969.99636217333,1.0,1,0.0
46,2.0,4.0,0.01201415382711123,0.0012209503191288437,0.0003509470167761444,120141.5382711123,1.0,1,0.0
47,3.0,4.0,0.013237930729611037,0.0011697156314091112,0.0005169998982489605,132379.30729611038,1.0,1,0.0
48,4.0,4.0,0.014303170912758621,0.000792783249888537,0.0007927832498885589,143031.70912758622,1.0,1,0.0
49,5.0,4.0,0.014732646017897883,-2.154735507121374e-16,0.0011211270131869274,147326.46017897883,1.0,1,0.0
50,6.0,4.0,0.014303170912758198,-0.00079278324988896,0.0007927832498885648,143031.70912758197,1.0,1,0.0
51,7.0,4.0,0.013237930729610181,-0.001169715631409537,0.0005169998982489515,132379.30729610182,1.0,1,0.0
52,8.0,4.0,0.012014153827109943,-0.001220950319129273,0.00035094701677610053,120141.53827109943,1.0,1,0.0
53,9.0,4.0,0.010796999636215634,-0.0011925237992847088,0.00023721344503344207,107969.99636215634,1.0,1,0.0
54,10.0,4.0,0.009618461810417265,-0.0011640689597983503,0.00016400573665572115,96184.61810417265,0.5,1,0.0
55,0.0,5.0,0.00969393356880609,0.0012074494441345679,-7.851153215200376e-17,96939.3356880609,0.5,1,0.0
56,1.0,5.0,0.010918069819200939,0.0012423646416139646,-1.0432808552307112e-16,109180.69819200938,1.0,1,0.0
57,2.0,5.0,0.012193874368486969,0.001288184385322156,-1.3375334005342479e-16,121938.74368486968,1.0,1,0.0
58,3.0,5.0,0.013498112169513563,0.0012640279357552411,-1.3949561792280876e-16,134981.12169513563,1.0,1,0.0
59,4.0,5.0,0.014732646017897916,0.0011211270131868908,-1.636451807558418e-16,147326.46017897915,1.0,1,0.0
60,5.0,5.0,0.015607851234794601,-2.134519870194728e-16,-1.6908522203933605e-16,156078.512347946,1.0,1,5000000.0
61,6.0,5.0,0.014732646017897482,-0.0011211270131873483,-1.901744393479226e-16,147326.4601789748,1.0,1,0.0
62,7.0,5.0,0.013498112169512666,-0.001264027935755712,-2.1569854961180672e-16,134981.12169512667,1.0,1,0.0
63,8.0,5.0,0.012193874368485604,-0.0012881843853226051,-2.2756440235114815e-16,121938.74368485603,1.0,1,0.0
64,9.0,5.0,0.010918069819199136,-0.001242364641614391,-2.2662683953926083e-16,109180.69819199137,1.0,1,0.0
65,10.0,5.0,0.009693933568803869,-0.00120744944413499,-2.240011271215552e-16,96939.33568803869,0.5,1,0.0
66,0.0,6.0,0.009618461810419214,0.0011640689597978942,-0.00016400573665596867,96184.61810419214,0.5,1,0.0
67,1.0,6.0,0.01079699963621712,0.0011925237992842475,-0.00023721344503372182,107969.99636217121,1.0,1,0.0
68,2.0,6.0,0.012014153827110971,0.0012209503191288069,-0.0003509470167763965,120141.53827110972,1.0,1,0.0
69,3.0,6.0,0.013237930729610742,0.001169715631409069,-0.0005169998982492548,132379.3072961074,1.0,1,0.0
70,4.0,6.0,0.014303170912758293,0.0007927832498885105,-0.0007927832498888761,143031.70912758293,1.0,1,0.0
71,5.0,6.0,0.014732646017897541,-2.4022795294284653e-16,-0.0011211270131872692,147326.46017897542,1.0,1,0.0
72,6.0,6.0,0.014303170912757823,-0.000792783249888995,-0.0007927832498889197,143031.70912757821,1.0,1,0.0
73,7.0,6.0,0.01323793072960976,-0.0011697156314095822,-0.0005169998982493349,132379.3072960976,1.0,1,0.0
74,8.0,6.0,0.012014153827109499,-0.0012209503191292802,-0.00035094701677650694,120141.53827109499,1.0,1,0.0
75,9.0,6.0,0.01079699963621519,-0.00119252379928471,-0.000237213445033865,107969.9963621519,1.0,1,0.0
76,10.0,6.0,0.00961846181041682,-0.0011640689597983518,-0.0001640057366561438,96184.6181041682,0.5,1,0.0
77,0.0,7.0,0.009391996568659758,0.0010448978238175185,-0.00032314432897100905,93919.96568659758,0.5,1,0.0
78,1.0,7.0,0.01044648030011033,0.001059865594078497,-0.0004483689395540269,104464.8030011033,1.0,1,0.0
79,2.0,7.0,0.011510993668318408,0.00104260725523211,-0.0006396975497245656,115109.93668318409,1.0,1,0.0
80,3.0,7.0,0.01250774782871985,0.0008888645937119135,-0.0008888645937122449,125077.4782871985,1.0,1,0.0
81,4.0,7.0,0.013237930729610388,0.0005169998982488766,-0.0011697156314094237,132379.30729610389,1.0,1,0.0
82,5.0,7.0,0.013498112169512818,-2.6514315792998755e-16,-0.001264027935755613,134981.12169512818,1.0,1,0.0
