node,x_m,y_m,w_m,thx_rad,thy_rad,qsoil_Pa,area_m2,spring_active,column_load_N
0,0.0,0.0,0.001024372866327168,0.00028442054289522266,0.0002844205428952298,40974.914653086715,0.25,1,0.0
1,1.0,0.0,0.00128831873222665,0.00025252813637556695,0.00036767845736779243,51532.749289066,0.5,1,0.0
2,2.0,0.0,0.0014858818085904109,0.00018098494416918262,0.0005037620562958229,59435.27234361644,0.5,1,0.0
3,3.0,0.0,0.0016086581991843947,0.00010895544453862472,0.0006379742083445722,64346.327967375786,0.5,1,0.0
4,4.0,0.0,0.0016703098040076478,4.913307970880441e-05,0.0007379591169981532,66812.39216030591,0.5,1,0.0
5,5.0,0.0,0.0016882645445858862,-8.95362196946589e-18,0.0007742667837710949,67530.58178343545,0.5,1,0.0
6,6.0,0.0,0.001670309804007631,-4.913307970881324e-05,0.0007379591169981586,66812.39216030523,0.5,1,0.0
7,7.0,0.0,0.001608658199184382,-0.00010895544453861657,0.0006379742083445653,64346.327967375284,0.5,1,0.0
8,8.0,0.0,0.0014858818085904122,-0.00018098494416917568,0.0005037620562957753,59435.27234361649,0.5,1,0.0
9,9.0,0.0,0.0012883187322266538,-0.0002525281363755618,0.00036767845736777064,51532.74928906615,0.5,1,0.0
10,10.0,0.0,0.0010243728663271777,-0.00028442054289521627,0.00028442054289520076,40974.91465308711,0.25,1,0.0
11,0.0,1.0,0.0012883187322266572,0.0003676784573677866,0.00025252813637557887,51532.74928906629,0.5,1,0.0
12,1.0,1.0,0.0016552585225676653,0.0003538990013978075,0.0003538990013978148,66210.34090270661,1.0,1,0.0
13,2.0,1.0,0.0019912696792328544,0.0003003162187535838,0.0005058548664811645,79650.78716931418,1.0,1,0.0
14,3.0,1.0,0.0022539288801971544,0.000213573801279421,0.0006544343847615745,90157.15520788617,1.0,1,0.0
15,4.0,1.0,0.0024190810834901393,0.00011028239653030207,0.0007655037146143293,96763.24333960557,1.0,1,0.0
16,5.0,1.0,0.0024750341774452465,-7.61662204492685e-18,0.0008073657913911657,99001.36709780987,1.0,1,0.0
17,6.0,1.0,0.0024190810834901263,-0.0001102823965303133,0.0007655037146143349,96763.24333960505,1.0,1,0.0
18,7.0,1.0,0.0022539288801971306,-0.00021357380127942565,0.000654434384761562,90157.15520788523,1.0,1,0.0
19,8.0,1.0,0.001991269679232828,-0.00030031621875358135,0.0005058548664811471,79650.78716931312,1.0,1,0.0
20,9.0,1.0,0.0016552585225676438,-0.00035389900139780735,0.0003538990013977917,66210.34090270575,1.0,1,0.0
